adpu,其实
adcw,苦难
aaum,工商
amna,恐慌
anpt,巨额
anqe,巨蟹
anud,巨头
apfu,荣幸
aqaw,菊花
aptf,营造
amrc,黄瓜
amqa,黄昏
alhh,萝卜
alaw,莲花
aifm,东南
adql,项链
aqwv,区分
awjk,苍蝇
aquj,区间
awrr,苍白
awny,花心
anww,世俗
avrq,切换
amwc,英俊
alap,功劳
axog,药业
akdl,勤奋
aifb,落地
aduj,其间
afwt,著作
agee,七月
agrh,七年
amdx,恐龙
adrg,其后
anww,巨人
awyf,共计
awsu,花样
atxp,萎缩
avpu,切实
aubb,燕子
aeqy,菜鸟
addh,藏在
amld,巩固
aqet,获胜
adrq,期的
aild,范畴
ajfb,草地
ammm,黄山
atjg,医师
awkq,共鸣
anpe,世家
aqog,敬业
aatf,工行
adad,菲菲
adgg,其一
adny,苦恼
ajth,划算
aqlg,警车
awtg,花生
ajpv,草案
ajat,草莓
aiqd,茫然
afgg,某一
afap,芙蓉
adad,苦苦
aqwm,敬佩
avdn,切成
apuq,劳资
ayyv,荒唐
awgd,苍天
awga,花开
avyn,切记
apiq,荣耀
alyj,功课
ayav,蘑菇
axyh,药店
aqaq,区区
ausg,薪酬
atrs,攻打
aqrs,殴打
adfj,期刊
aent,散发
agwh,七个
agyt,荆州
ajwy,募集
akap,勤劳
anut,世道
apaq,荣获
aaqk,匿名
aafw,工夫
adfg,其二
aiih,落泪
aity,落入
alyx,功率
aqpn,警官
aqsg,匹配
atrv,攻势
atwk,医保
awur,花瓣
awvk,花絮
adyt,藏族
afgd,某天
agvi,巧妙
aiai,茫茫
aikf,落叶
ajfb,墓地
albb,茄子
amje,英明
aebn,散了
adyt,欺诈
addh,其在
adde,若有
adbn,苦了
aiap,东芝
asyn,苛刻
aday,葫芦
aghk,七点
aaol,戒烟
aigc,落到
aije,东盟
apys,芝麻
aipa,落寞
aiyn,落户
atic,医治
abhk,节点
amkg,恐吓
amce,英勇
aqmw,区内
ayjs,芒果
awua,花瓶
awaw,荷花
adgi,若不
agqt,七夕
avdu,切磋
aixu,薄弱
ajfg,草坪
alsg,苏醒
aqfi,警示
aplx,劳累
awvg,蔡妍
angk,世事
atnt,医改
aerv,散热
atsy,医术
axsf,药材
ajdd,莫大
alyq,功底
afid,芜湖
atfd,攻城
adyy,斯文
ayyn,荒谬
aiuy,东门
ahnm,牙刷
aftq,著称
aftm,鞠躬
aquj,敬意
amwt,巩俐
apfb,营地
apfi,营救
avon,切断
awuf,芬兰
ajiq,蓝光
akuq,或将
alsf,荔枝
amrh,黄牛
aatu,工科
adiv,苦涩
adtr,斯特
aevn,菜刀
aeyu,菜谱
afdr,甘愿
agpy,葬礼
ahma,雅典
ailp,东边
ahln,雅思
agjt,七星
aedm,散布
adce,若能
anwa,世代
anga,巨型
aiae,菠菜
aiaj,落幕
aial,菠萝
ajrk,募捐
aknn,勤快
aktp,匮乏
away,芬芳
awjg,巫师
awqn,茶馆
awxy,花纹
apaa,劳工
apnu,荧屏
aqlg,敬畏
ahyq,卧底
ahyp,牙膏
adrq,苦的
adtt,苦笑
adyk,苦衷
aeai,散落
aeqd,菜肴
ages,七彩
aiaq,东欧
aiyy,范文
alah,功臣
altj,功利
amth,黄牌
amup,黄帝
apfc,营运
aqaa,警戒
aqwq,敬仰
aqyg,敬请
awtj,花香
axii,药水
axyn,药房
awfa,花卉
adgs,期末
adnn,项羽
adov,基数
alat,萝莉
abnt,蒸发
avts,萧条
alts,苗条
alyt,苗族
amit,黄海
awaj,花草
apnh,营收
aptl,劳务
adhi,基督
aqrb,警报
adqt,菲儿
aduw,基准
agag,七七
avpd,切割
agat,茉莉
agdd,七大
aiiu,荡漾
adny,苦心
akdh,或在
aitj,落得
ajfp,划过
alpl,苏军
awsh,花椒
ayuy,荒凉
abrg,节后
abww,节俭
agjj,七日
aibn,落了
aiii,落水
aiwf,范伟
aiwg,落伍
ajdr,墓碑
ajna,草民
akde,或有
altf,功德
amgk,黄豆
amim,黄油
anuq,巨资
apau,蒙蔽
aqbg,警卫
aqtg,敬重
atby,攻防
athj,董卓
aurj,菩提
avbw,切除
avth,切片
away,荟萃
awii,茶水
awtb,花季
abrm,节制
adrc,苦瓜
avnn,切忌
afoq,鞭炮
afbb,靴子
afat,蔷薇
aefc,散去
adww,惹人
aytj,芳香
ayyn,荒废
adsv,若要
afuj,邯郸
adwq,惹你
advf,基建
adun,苦闷
aduh,基站
adqi,菲尔
addf,欺压
ayyt,荒诞
axyy,药方
awya,共度
avmm,萧山
arae,芹菜
aqeg,区县
amww,英伦
amny,英尺
amff,黄土
alpy,蔑视
alla,苏轼
alif,功法
ajaa,萌芽
aiud,落差
airr,落魄
aipw,落空
aijj,落日
aifh,东坡
afus,革新
afog,鞋业
adym,基调
aqfi,获救
atdh,攻破
addg,基石
awvf,共建
ayaf,荒芜
addj,若非
adgk,惹事
adkb,苦啊
adsc,期权
atdq,攻克
agwv,七分
aicn,落马
aipe,东家
ajss,草木
alfv,苏雪
aayc,工序
aaqg,工钱
almy,苏丹
acck,茅台
aqcn,匹马
abir,蒸汽
amjf,英里
aphh,蒙上
aptj,营利
apwt,劳作
adud,苦头
adlt,苦力
aqip,警觉
athk,攻占
atyf,攻读
auuq,薪资
avav,萧萧
avqr,切勿
awdh,共存
awet,共用
awft,苍老
awso,茶楼
awtk,共和
awyh,花店
axet,药用
axjg,药师
abyj,节课
aggm,荆棘
andx,巨龙
andm,世面
andg,巨石
anaj,蔚蓝
amqh,黄钻
ampl,英军
amfg,黄埔
amdx,黄龙
amdm,黄页
akgi,或不
ajyx,草率
ajrq,蓝的
aiea,薄膜
aiaw,薄荷
ahth,鸦片
ahsg,卧槽
agnk,戈壁
agll,莆田
agdn,七成
afmm,鞍山
afay,甘蔗
aepy,藐视
advb,甚好
atat,芊芊
atty,攻入
aupw,燕窝
avty,切入
awih,巫婆
awnt,共性
awpw,苍穹
aldi,功耗
ajlt,蓝图
aiwm,东侧
aiic,东汉
aifd,东城
aidn,落成
ahgc,雅致
adxa,苦练
adqk,茂名
adpw,勘察
acaf,芭蕾
aawt,工伤
alxg,功绩
amft,英才
awmt,茶几
amjt,黄蜂
amrg,英皇
amrq,黄的
apod,劳烦
apta,营长
aqtv,区委
aqvy,菊丸
axwy,蕴含
awsg,茶杯
awqk,共勉
atgh,攻下
awbb,巷子
awfj,共进
adjf,其时
adhk,基点
ayjf,荒野
awlp,花边
awkf,荷叶
abim,节油
aplt,劳力
adrp,勘探
adqk,其名
apxa,萦绕
aqis,敬酒
aqlt,警力
aquw,获益
aaar,工匠
anqy,世贸
amyo,黄奕
amis,黄酒
alqk,功名
alkm,功勋
ajww,草丛
ajwq,草你
ajax,草药
aikg,东吴
aiai,落落
abrq,节的
abue,节前
ahdx,卧龙
agmq,七岁
agdj,七百
affp,勒索
afbb,鞭子
adyl,甚为
adwq,若你
adwq,其父
adwg,苦命
adtr,惹我
adsg,斟酌
aqkm,警员
amoy,贡米
agyw,七夜
ahqg,卧铺
aiaw,落花
aidm,东面
aiid,东湖
aiwg,范例
aixc,东经
ajbm,划出
ajpg,划定
alal,苗苗
albb,莲子
amaw,黄花
amif,英法
abwy,节食
abye,节哀
adfm,藏南
adgf,苦于
affb,某地
affk,甘露
agkg,七号
awqn,荷包
avga,切开
aatl,戒备
abrr,节拍
awtg,苍生
awuy,苍凉
auqq,薪金
asfi,苛求
aqsg,警醒
aqqi,艾尔
ankt,巨响
amtf,黄毛
algm,苏珊
akpu,或被
ajtg,萌生
ajmh,草帽
ajdh,划破
aiuq,东郊
aief,落脚
ahft,邪教
agud,芋头
afuq,某次
aega,散开
adit,苦海
adhk,苦战
acxx,芭比
abqi,萨尔
aaqy,工贸
aimt,落败
ayny,芳心
ayaf,芦苇
awrl,共舞
awrh,花掉
awqi,花销
awow,花粉
awjg,花旦
awgs,芥末
awai,苍茫
awxw,恭维
axyj,药剂
ayaw,芦荟
aydr,荒原
ayia,荒漠
ayuj,蓄意
aetx,菜系
aeww,菜价
affw,勒夫
agtf,七千
agtr,莱特
ahuy,邪门
aimq,落网
aitf,落选
ajfl,莫雷
ajqc,暮色
ajrq,草的
alet,功用
alud,苗头
adfq,甚远
amii,黄沙
anyo,巨变
apbn,蒙了
awmm,巫山
apsk,莺歌
aqad,艾斯
aqaw,葱花
aqnn,警局
aqrx,获批
aqta,区长
aqtd,获知
avaj,切莫
awki,花哨
aers,散打
aebn,菜了
aduc,苦痛
adtf,匪徒
adrx,期指
adpn,茂密
adfv,若雪
adfq,若无
addn,茂盛
adbn,藏了
adbn,惹了
abru,萨拉
aahw,工龄
aagk,工事
aaad,工期
andx,世袭
amuq,英姿
ambn,黄了
amam,黄英
alux,苏北
alth,薯片
ajpl,蓝军
aisg,范本
aibj,东阳
ahtw,牙签
ahrn,邪气
ahiw,雅兴
aheb,臣服
agwu,七位
agud,葬送
afyq,鞋底
afaj,甘草
aefn,散场
aefn,菜场
aduf,欺凌
adtm,藏身
addh,若在
adaa,藏匿
abii,节水
abia,萨满
aasu,式样
aarh,戒掉
ajiv,蓝染
axvy,药丸
aqwu,区位
aquw,获准
aqgo,欧亚
apiq,荧光
apaj,荧幕
ankm,艺员
aniy,巨浪
anfk,世嘉
awwv,花盆
awsy,巫术
awgk,共事
awfy,荷塘
awaw,葵花
avdy,切碎
avbn,切了
attf,医德
atkk,医患
atfp,蓬勃
atag,蓬莱
anff,巨款
apsa,劳模
aqqk,警钟
atif,董洁
avtm,切身
awaq,恭敬
awhh,花上
awiq,花光
awpy,恭祝
awrq,花魁
awss,花木
awwh,恭候
awww,花丛
awyt,花旗
axdg,药厂
axip,药学
aagk,工整
aape,工农
aeaw,菜花
aeae,菜菜
adyt,期许
adui,若冰
adru,莽撞
adog,基业
adna,藏民
adia,期满
agnm,七届
agtk,七种
ahdq,雅克
abab,节节
aita,东升
ajqd,蓦然
ajte,划船
ambb,英子
apap,蒙蒙
apdm,蒙面
apep,蒙受
ayad,芳菲
axuq,药效
awwb,共创
awth,共处
awfp,茶壶
avkk,切口
auvx,蒂姆
atys,萎靡
atet,医用
aqeb,警服
amri,黄泉
amif,黄渤
amaq,黄芪
allg,苗圃
aket,或用
ajrn,划拨
awos,花灯
aixg,东线
ahpv,雅安
ahbb,臣子
ahay,雅芳
agww,七人
agjm,巧遇
agag,菁菁
agad,莱斯
aftd,甘甜
afbb,靶子
aeny,散心
adtu,斯科
adss,苦楚
adpy,惹祸
adnn,藏书
adkk,藏品
adgo,惹来
abyd,节庆
abvx,萨姆
abtf,节选
aadc,工友
aflg,某国
apwx,荣华
ajbn,划了
ajag,墓葬
ahna,臣民
agbn,巧了
afwy,勒令
afvv,某女
afll,某男
afgf,甘于
adoo,惹火
ajgi,莫不
adfc,若云
adce,斯通
aetd,散乱
ayaj,芳草
awtg,共生
awrd,共振
awqc,花色
awjt,莅临
awfy,茶坊
awad,花期
avgg,萧瑟
auad,蒂斯
atud,攻关
atpf,攻守
atbq,攻陷
aqpg,欧宝
aqiu,艾滋
aqgm,艾瑞
aert,散播
apcy,蒙骗
andt,世故
akyl,或为
aeij,散漫
aefb,菜地
adyn,期房
adyf,苦读
adwt,欺侮
aatv,戒律
aatk,工种
adqi,基尔
ajqt,蓝猫
ajqt,蓝儿
ajqn,草包
ajpw,墓穴
ajnu,蓝屏
ajnc,莫怪
ajim,莫测
atsw,蓬松
awrv,花招
awlf,茶园
awff,花坛
avfn,切块
avav,切切
acmm,茅山
acfy,茅坑
abyb,蒸熟
apiq,荣光
abad,萨斯
aarg,工兵
aaip,工党
amge,黄静
apfg,芝士
anqh,世外
amso,英杰
amkh,黄忠
afde,著有
amga,英武
amdd,黄磊
alss,苗木
alad,莲藕
ajwt,划伤
ajuv,划痕
ajnt,萌发
ajjv,划归
adsj,勘查
aisu,落榜
airu,莎拉
aqsu,警校
aqjl,欧曼
aqgs,艾琳
aqga,获刑
apqt,蓉儿
ahhw,牙龈
ahat,牙医
ayfb,荒地
axad,蕴藏
aguq,七次
aguj,七章
agtm,葬身
aftg,鞭策
aeww,散人
aeqn,菜馆
aelf,菜园
adyu,若说
advc,惹怒
adrt,斯托
adjs,苦果
adgm,若再
adde,藏有
akme,颧骨
ajty,草稿
ahtu,牙科
apkk,营口
apru,劳拉
apyw,荣膺
aqad,警匪
aqfw,匹夫
aqtd,匹敌
aqtl,警备
aqtl,警务
aiuh,东站
aixt,萍乡
ajee,蓝月
ahys,卧床
aiiu,东洋
aimd,东岸
airq,薄的
aith,薄片
ajfn,草场
avxx,切丝
awaw,花茶
awhw,茶具
awim,茶油
awjg,茶匙
awlk,恭贺
awvv,巫女
aafn,工场
adbm,惹出
adgb,斯顿
adny,惹恼
aeow,散粉
aewf,散会
afaf,芸芸
afuk,某部
agfk,七喜
agqc,七色
agqi,戈尔
ahpy,邪神
apft,劳教
ayrv,蓄势
ayqk,芳名
axgj,药理
anwt,巨作
anmh,巨幅
amyp,英豪
ampe,黄家
amic,英汉
alfm,苏南
albb,苗子
akny,或以
ajys,蓝魔
ajue,墓前
ajqh,蓝钻
ajpg,墓室
ajlf,墓园
aivv,荡妇
aiiy,东瀛
aicw,落难
ahuc,牙痛
agrr,七折
agkb,巧啊
aggg,七一
aget,巧用
agal,莱茵
afgk,鞋带
aerq,散的
adkf,苦味
adim,勘测
acrf,茅盾
abrn,节气
apud,蒙羞
anrm,巨制
anjs,蔬果
anjg,巨量
amsi,黄桃
ammq,黄网
ammq,黄冈
amam,黄黄
amaf,黄某
amaa,英式
akld,或因
ajyw,幕府
apwg,荣登
aqmp,艾迪
aqto,获释
asas,茜茜
atut,翘首
aunx,蒂尼
awce,共通
awlu,花圈
awpf,花冠
awut,巷道
awut,茶道
axxj,药费
axyp,药膏
ayii,蓄水
ajst,鹊桥
ajsg,草本
ajsg,蓝本
ajqk,慕名
ajaf,草鞋
aipk,东宫
aihk,落点
adyg,藏语
aatv,工委
aany,戒心
axth,药片
aagx,戒毒
aaau,工薪
aymm,荒山
axib,蕴涵
axgg,药王
axeu,药膳
awtj,花篮
awqy,花鸟
awmm,苍山
auyi,燕京
aumm,燕山
atjc,攻坚
aqrr,葱白
aqna,警民
apdf,荣辱
anaq,艺苑
amlp,黄连
alaq,苏区
ajwy,蓝领
afim,甘油
ahys,邪魔
aiff,落款
aigo,东晋
ajrh,暮年
akqk,勤勉
attl,医务
afga,菱形
aeuf,散装
alfp,功过
augt,燕麦
awan,花蕊
awaw,茯苓
awgk,花束
awqb,恭迎
awym,花市
aytv,芦笋
aqdg,警犬
amuj,黄疸
amqg,黄鳝
ajwd,幕僚
ajlw,划界
ajip,草堂
ajff,幕墙
aiyw,落座
aiaa,范式
ahyn,卧房
agpw,七窍
afud,蒜头
afrv,鞋垫
aelk,散架
adkh,期中
adgf,甚于
adak,甚或
acaw,芭蕉
abtv,节律
aaud,工头
aago,戒严
acng,茅屋
aybc,萃取
axnt,药性
adha,欺瞒
ayqy,荒岛
awdx,苍龙
awaw,苍苍
awaf,花蕾
avie,切削
axis,药酒
atss,翘楚
atny,攻心
ajhc,草皮
aqta,警长
aqit,苟活
apwy,蒙住
apnt,劳改
ansu,艺校
amgq,英烈
alpf,苗寨
aekf,菜叶
anaf,巨著
adii,苦水
adhv,惹眼
acyn,茅房
abtd,蒸笼
aajf,工时
abjn,节电
ajfc,萌动
aift,薄雾
ahwy,邪念
agxq,七绝
afsy,著述
aewo,散伙
awsc,茶树
auoy,薏米
apta,荣升
apny,劳心
apdv,劳碌
anqk,艺名
aqtf,敬告
aqeg,苟且
apyn,营房
apwk,劳保
aptg,营生
apad,劳苦
anpg,巨富
amkk,贡品
altj,茴香
akww,勤俭
akgf,勤于
ajxg,划线
ajrn,草拟
ajlt,草图
ajig,划清
ajaw,草芥
afqm,鞍钢
afkh,鞋跟
aepe,菜农
addf,欺辱
acaj,茅草
ayaj,荒草
awqt,花猫
awpe,茶农
awgx,荼毒
awaw,茶花
awan,茶艺
avwg,切合
afgq,勒死
agrt,巧手
aifg,落雨
aifv,落雪
ajnn,草书
ajqg,草鱼
alal,茵茵
aqax,芍药
ayoy,蔗糖
awgg,花环
awlt,花轿
aytk,蓄积
awya,共谋
axaj,药草
awkk,巷口
aatm,式微
aawv,工分
adng,苦情
afal,蒜苗
asgm,苛责
aqsj,警棍
aqeg,蓟县
aplk,劳驾
amrn,英气
anar,巨匠
amvo,英灵
amst,黄梅
akjh,或曰
aypt,匾额
ayhw,芳龄
awyf,茶庄
awlg,花车
atgt,荞麦
aauf,工装
abuf,茁壮
afin,蒜泥
afiv,甘当
afrs,鞭打
afrw,贰拾
atkn,医嘱
avqd,萧然
awlg,花圃
awlh,花甲
axqg,药铺
ahtu,邪乎
awpg,茶室
agtv,七律
afwd,贰佰
afmh,鞋帽
aetm,散射
aeqc,菜色
aeim,菜油
adxg,基线
acdm,茅厕
anng,世情
amut,黄道
amqk,英名
albb,匣子
ajdm,幕布
aiuj,东单
aing,薄情
ahwg,卧倒
apae,荤菜
aqkg,警号
aqld,获罪
aqmg,苟同
aqwd,区段
attu,医科
aqtf,获选
aqoy,苞米
aqaw,警花
aqaj,区划
apvf,营建
apqi,莞尔
appy,劳神
apmh,营帐
aawr,工件
apgb,劳顿
abqk,蒸锅
adap,苦劳
adsh,苦想
adyw,基座
affn,靶场
affs,甘霖
anvf,艺妓
alpe,苗家
alog,功业
aktv,莴笋
aktl,勤务
akim,叵测
ajvk,莫如
ajsg,草酸
ajad,草莽
aiwg,薄命
aitt,落笔
aimm,落山
ahxt,牙缝
ahsv,牙根
aeym,菜市
afrd,鞭挞
afri,甘泉
aase,工棚
ayie,荒淫
ayae,荠菜
awyw,茶座
awxa,花红
awkn,花呢
awhk,巷战
awbu,孽障
awaq,花苞
amut,匝道
amwx,英华
amyl,英亩
anlw,巨轮
anuq,世交
aqfn,区块
aqft,敬老
aqud,葱头
arww,匠人
atbc,攻取
atnn,医书
atry,医护
awat,巫医
awny,苍翠
awum,共商
aabw,戒除
adfg,苦干
adjs,若果
admw,其内
adrf,基质
adyy,藏文
afqe,菱角
ahgm,雅丽
aiai,薄薄
aiod,藻类
aiud,东头
ajfb,蓦地
ajrh,昔年
acaq,苔藓
ahcm,雅观
ahaa,卧式
aerw,散失
aeiq,散光
adlu,项圈
abiy,节流
amqm,黄铜
amqg,黄鱼
amgy,黄玉
amgm,黄鹂
axua,药瓶
axjg,药量
alod,菌类
awpn,花蜜
awin,茶汤
awhk,茶点
awau,芥蒂
awae,芥菜
avdm,切面
atat,蓬蓬
apjf,蒙昧
anwv,世仇
akmq,觐见
ajxq,草纸
anbb,巨子
ajud,划拳
ajah,莫邪
axlt,药力
axiy,药液
awud,花卷
awrr,花白
awaf,蓓蕾
awae,花菜
atep,尧舜
apuu,荣立
appq,蒙冤
andy,世态
amdl,黄历
alat,莲蓬
ajru,划拉
agng,七情
afpu,鞋袜
afcn,鞍马
afay,荸荠
aets,藤条
adws,若何
adax,藏药
adaa,苦工
aqep,敬爱
aypw,芳容
ayaw,芦花
axts,药箱
akaa,莴苣
ajya,草席
ajff,募款
ajad,莫若
aiqn,薄饼
aibf,东陵
aiam,落英
ahut,邪道
awew,花脸
axxh,药引
axow,药粉
awyw,苍鹰
awoq,花炮
altk,菌种
aqqk,警句
aqfm,敬献
apaq,营区
ahkg,雅号
akmj,或则
aatt,工笔
abqn,蒸馏
adpf,苦寒
aesd,藤椅
aeud,散养
afad,甘苦
aftc,鞭笞
aqde,葱郁
aprk,劳损
awgg,花王
awpy,茶社
awqc,茶色
axsw,药检
adqh,其外
adtf,苦行
aduf,戎装
afaj,甘蓝
afnn,著书
aimf,东周
avfp,萧索
ajdw,暮春
akgg,勤王
akip,勤学
akve,勤恳
amae,苋菜
amaw,黄芩
aiyb,东郭
awca,苍劲
aaqt,芽儿
abeu,蒸腾
abft,蒸煮
awdm,花布
awnu,花屏
awyg,恭请
axkf,药味
axma,药典
ayya,蓄谋
awwf,花会
aqrp,警探
aady,工矿
abqn,蒸饺
adbt,基隆
adln,苦思
adwf,甚佳
afbk,革职
afdm,鞋面
afgk,芸豆
aiit,荡涤
aisr,薄板
aity,藩篱
ajbb,茧子
ajii,划水
ajng,草屋
apoo,萤火
alny,莲心
alrs,苏打
amfc,英魂
amsa,英模
anff,艺坛
annk,巨擘
apuf,芝兰
apww,蒙人
apyg,蒙语
aqan,警世
aqyg,敬语
aidm,薄面
adae,蕨菜
adad,莽莽
abyc,节育
abmg,邛崃
aagf,工于
ahfg,雅士
ajqg,蓝鲸
airg,东岳
aisp,落枕
adis,苦酒
ahjg,雅量
ahlv,卧轨
ahyw,雅座
aidj,东非
afsg,鞣酸
afar,鞋匠
aeob,菜籽
adxc,藏经
afyl,甘为
agag,萋萋
ahap,苜蓿
aigu,荡平
aiyn,蒲扇
ajkf,草叶
ajut,墓道
ajyn,草房
amap,黄莺
ajou,草料
aurr,茭白
awar,花匠
awyn,花房
ayuq,荒郊
aqtm,警笛
aqww,苞谷
aptm,劳役
aqxv,葱绿
aayn,工房
addm,甚而
adfy,基坑
adow,藕粉
adth,苦处
aewr,散件
afaf,鞑靼
afbb,苇子
afsg,甘醇
ahge,雅静
ahry,熙攘
aqaq,葱葱
apyt,蒙族
adip,苦学
appf,营寨
anqd,蔚然
anmq,世风
ance,艺能
abwt,节余
ajai,蓝藻
aiut,东道
atrt,医托
awsw,苍松
awtk,花种
atgj,医理
atcf,医圣
adis,斟酒
aqyn,警讯
aqpu,芡实
apej,荤腥
apif,蒙尘
apap,荧荧
amay,茼蒿
alsr,菌株
ajxy,草编
ajfw,草堆
ajfm,草垛
ahys,牙床
afjc,勒紧
apkm,营员
apuk,营部
arny,匠心
attd,蓬乱
atut,医道
avjg,切题
awfn,茶场
awpw,花容
aydi,芒硝
ayye,蓑衣
ayyo,荒蛮
afaf,蒜薹
aerg,散兵
aend,散居
adgq,苦熬
adcw,勘验
addt,匪帮
adcd,苦参
aayo,匿迹
alod,薯类
ambp,贡院
amsr,黄柏
aqtq,警衔
amfb,匝地
aytt,芦笙
axpu,药补
addl,藏历
awqt,共犯
awmf,花雕
awep,花腔
awdp,茶碗
adut,匪首
aerc,菜瓜
afim,鞋油
agwx,菁华
ahkk,牙口
aiif,落尘
afur,蒜瓣
aiui,薄冰
ajjs,草果
awbc,共聚
awhv,花眼
awis,花酒
awlk,花架
awpt,茶客
awtp,共管
aytk,芒种
aaaq,工区
aata,工长
adtm,苦役
afal,甘薯
afbw,革除
afny,靶心
afug,甘美
aink,薄壁
ajaj,蔓草
ajav,草菇
ajfn,墓志
akxa,勤练
amsn,黄杨
anum,巨商
aiis,薄酒
apij,蒙混
asep,苯胺
abrk,节操
abwy,节令
adlf,基团
aexf,散结
aeyn,散记
afft,著者
aflh,某甲
aftj,藿香
ahud,牙关
ahww,雅俗
atay,蓬蒿
auiw,燕雀
amgy,黄斑
amiw,黄雀
amys,黄麻
aqaj,敬慕
ailf,蒲团
ajcq,草鸡
ajse,草棚
awpy,巫神
avxg,切线
avwv,切分
avkh,切中
abqn,蒸饭
adai,菲薄
adal,苦功
agar,巧匠
ahdg,牙石
ahfh,雅趣
aint,藩属
aird,落拓
ajjf,昔时
ajxv,草绿
aklt,勤力
alxt,苏绣
antx,世系
apaj,萱草
apcw,蒙难
aqvx,欧姆
awkd,恭顺
awfk,花鼓
awwg,花剑
awwf,茶会
atam,萎黄
aqtk,警种
aqqw,警铃
adae,葳蕤
axuw,药疹
awam,荏苒
aegk,菜豆
aeqn,菜饭
agln,巧思
ahme,牙髓
ahyy,雅言
awds,花厅
aipy,薄礼
acyy,茅庐
aean,菜蔬
ajuq,划桨
ajxk,草绳
amud,黄羊
adtj,藏香
aysf,荒村
awqn,茶饭
awbb,芥子
awte,茶盘
avrp,切近
auat,蒺藜
ajte,划艇
ajdm,蓝布
aill,薄田
aiaj,落草
afsm,靶机
aqsa,警械
aeal,藤萝
adic,莽汉
awdd,茶碱
aysv,芦根
amrm,英制
alck,莲台
abaq,菡萏
aitj,薄利
ajfy,暮霭
ajub,莫逆
ajwy,草食
akww,惑众
altq,蔑称
amrh,英年
amtg,贡生
adcn,戎马
aquf,殴斗
aqwx,欧化
asad,苯基
assg,苯酚
atsy,莪术
atys,蓖麻
avaw,切花
axiw,药浴
adbb,茬子
adcl,苦劝
addr,莽原
adrg,匪兵
afsf,靶标
afyy,著文
ayce,蓄能
aggh,匡正
ahkh,邪路
aiqi,落锁
aywn,荒僻
abab,茸茸
adkk,苦口
adtg,欺生
ayoc,芳烃
awrm,茶缸
awld,共轭
awgy,花斑
awbg,苍耳
awac,花茎
asgh,苛政
aqtu,菊科
aqdw,敬奉
axis,药渣
appl,劳军
ajww,划价
ajww,草人
aidj,薄厚
ahww,雅人
ahtk,熙和
ahqi,雅乐
afvs,芜杂
afdn,贰万
aexy,藤编
aetj,菜篮
aert,散手
awpe,花农
awya,恭谨
awyn,茶房
awyt,共话
axsa,药械
ayaj,蒿草
ayic,荒滩
aauq,工效
abvi,节录
adat,藏医
adge,藏青
adit,苦活
adrb,藏拙
aduf,苦斗
afdt,鞋帮
afpe,蒜农
agae,芋艿
agyy,巧言
aikh,萍踪
aint,落发
